ID,Distance,type,PCK,angle diff
1,2,3,0.5,52%
102,3,3,0.75,23%
103,3,3,0.5,25%
104,4,3,0,59%
105,4,3,0.5,58%
106,3,3,0,11%
107,3,3,0,33%
108,3,3,0.75,33%
109,4,1,0,10%
110,4,1,0.5,15%
112,4,3,1,5%
113,4,3,0.75,5%
118,3,3,0.75,6%
119,4,3,0,20%
12,2,3,1,10%
120,4,3,0,31%
121,4,3,0,19%
123,4,3,0.5,4%
125,4,3,0.25,47%
127,4,1,0,2%
128,4,1,0,4%
129,3,1,0,42%
130,3,1,0.5,36%
131,4,1,0.5,67%
132,4,1,0,107%
133,4,1,0,28%
135,4,3,0.5,9%
137,4,3,0.75,2%
139,4,1,0.25,14%
14,3,3,0.25,97%
140,4,1,0,14%
142,4,1,0.25,15%
144,4,3,0.5,20%
145,4,3,0,78%
148,4,2,0.25,28%
149,4,2,0.75,7%
15,3,3,0.5,29%
150,4,2,0,39%
152,3,2,0.5,2%
153,4,2,0,10%
154,4,2,0.5,25%
156,3,2,0.25,32%
157,3,2,0,53%
159,4,3,0.25,17%
160,4,3,0,1%
163,4,1,0.25,9%
164,4,1,0,14%
165,3,2,0.5,10%
166,3,2,0,16%
169,4,3,0.25,8%
170,4,1,0.25,4%
171,4,1,0.25,0%
172,4,3,0.75,11%
173,4,3,0.75,11%
174,4,3,0.25,8%
175,4,3,0,20%
177,4,3,1,8%
178,4,3,0.25,20%
179,4,3,0.5,10%
180,4,3,1,8%
181,3,3,0,20%
182,3,3,0.75,3%
2,3,3,0.5,97%
20,3,1,0.75,37%
22,3,3,0.5,5%
23,3,3,0,43%
24,4,3,0,97%
28,3,1,1,20%
29,3,1,0,33%
3,1,3,0.25,14%
30,3,1,0,26%
31,3,1,0,6%
33,3,1,0.5,2%
34,3,1,0.25,13%
36,1,3,0.25,9%
37,1,3,0.5,12%
38,1,3,0,18%
4,2,3,0.75,10%
43,3,3,0.25,46%
44,3,3,0.25,99%
45,3,3,0,33%
46,3,3,0,2%
47,3,3,0,5%
48,3,3,0.75,34%
49,3,3,0.5,7%
50,3,3,0.75,12%
51,4,3,0.25,22%
52,2,1,0,33%
53,3,1,0,15%
54,3,1,0.25,28%
56,3,3,0.75,19%
57,3,3,0,30%
59,3,3,0.75,2%
60,3,3,0.25,9%
61,4,3,0,83%
62,4,3,0,98%
63,4,3,0.5,21%
65,3,1,0,8%
66,3,1,0,19%
67,3,1,0,22%
68,3,1,0,37%
69,3,1,0.75,7%
7,3,3,0,10%
76,3,1,1,16%
77,3,1,0,14%
79,2,1,0,57%
8,1,3,0.25,11%
80,2,3,0.5,42%
81,3,1,0.25,4%
83,1,3,0.5,43%
84,1,3,0,17%
86,1,3,0.75,4%
87,2,2,0,6%
88,2,2,0.25,17%
89,3,2,0,39%
9,3,3,0.75,4%
90,3,2,0.75,8%
91,3,3,1,2%
92,3,3,0.75,3%
93,4,3,0.5,47%
95,3,1,0.75,23%
96,4,1,0.5,13%
97,4,1,0.25,56%
,,,0.33,0.24
,,,0.32,0.24
